id,state,abbr,poverty,povertyMoe,age,ageMoe,income,incomeMoe,AvgPricePerSqFt
1,Alabama,AL,19.3,0.5,38.6,0.2,42830,598,179.8633333
2,Alaska,AK,11.2,0.9,33.3,0.3,71583,1784,71.85037256
4,Arizona,AZ,18.2,0.4,36.9,0.1,50068,483,67.3251305
5,Arkansas,AR,18.9,0.5,37.8,0.2,41262,653,113.7232122
6,California,CA,16.4,0.2,36,0.1,61933,238,312.4415111
8,Colorado,CO,12,0.4,36.3,0.1,61303,487,184.2440699
9,Connecticut,CT,10.8,0.5,40.5,0.2,70048,828,144.8028351
10,Delaware,DE,12.5,0.9,39.6,0.3,59716,1674,435.3425926
11,Washington D.C.,DC,17.7,1.2,33.8,0.2,71648,1996,136.3405934
12,Florida,FL,16.5,0.3,41.6,0.1,47463,329,115.4719266
13,Georgia,GA,18.3,0.4,36.1,0.1,49321,543,78.73828773
15,Hawaii,HI,11.4,0.8,38.1,0.2,69592,1456,387.0518423
16,Idaho,ID,14.8,0.7,35.9,0.2,47861,1275,94.68872249
17,Illinois,IL,14.4,0.3,37.5,0.2,57444,429,113.6535674
18,Indiana,IN,15.2,0.4,37.4,0.2,49446,487,116.5879134
19,Iowa,IA,12.2,0.5,38.2,0.1,53712,761,72.78868329
20,Kansas,KS,13.6,0.5,36.2,0.1,52504,706,83.33309144
21,Kentucky,KY,19.1,0.5,38.5,0.2,42958,697,81.41349365
22,Louisiana,LA,19.8,0.5,36.1,0.1,44555,738,80.53121099
23,Maine,ME,14.1,0.7,44.1,0.2,49462,1112,224.47206
24,Maryland,MD,10.1,0.4,38.3,0.1,73971,867,159.344864
25,Massachusetts,MA,11.6,0.3,39.4,0.2,69160,957,147.4790925
26,Michigan,MI,16.2,0.3,39.6,0.1,49847,385,93.70398482
27,Minnesota,MN,11.5,0.4,37.8,0.1,61481,471,125.5300161
28,Mississippi,MS,21.5,0.6,36.7,0.2,39680,773,88.50454782
29,Missouri,MO,15.5,0.4,38.5,0.1,48363,567,63.02878621
30,Montana,MT,15.4,0.8,39.6,0.3,46328,1217,155.6476716
31,Nebraska,NE,12.4,0.5,36.2,0.2,52686,688,91.743238
32,Nevada,NV,15.2,0.7,37.4,0.2,51450,683,155.755787
33,New Hampshire,NH,9.2,0.6,42.5,0.3,66532,1297,102.269983
34,New Jersey,NJ,11.1,0.3,39.4,0.2,71919,438,122.9045053
35,New Mexico,NM,21.3,0.9,37.2,0.2,44803,849,184.0700011
36,New York,NY,15.9,0.3,38.2,0.1,58878,393,120.8365385
37,North Carolina,NC,17.2,0.3,38.3,0.1,46556,381,132.0623917
38,North Dakota,ND,11.5,0.9,35.1,0.2,59029,1681,195.8271449
39,Ohio,OH,15.8,0.3,39.4,0.1,49308,363,76.96457265
40,Oklahoma,OK,16.6,0.4,36.2,0.2,47529,454,60.98548783
41,Oregon,OR,16.6,0.5,39.3,0.2,51075,490,150.96191
42,Pennsylvania,PA,13.6,0.3,40.7,0.1,53234,420,101.3533809
44,Rhode Island,RI,14.3,0.9,39.8,0.3,54891,1488,166.3636157
45,South Carolina,SC,18,0.5,38.8,0.1,45238,507,84.23288255
46,South Dakota,SD,14.2,0.7,36.6,0.3,50979,1027,133.2991898
47,Tennessee,TN,18.3,0.4,38.6,0.1,44361,561,75.74959136
48,Texas,TX,17.2,0.2,34.3,0.1,53035,377,84.48123761
49,Utah,UT,11.7,0.6,30.5,0.1,60922,658,162.0405076
50,Vermont,VT,12.2,0.8,42.8,0.3,54166,1724,141.7859939
51,Virginia,VA,11.8,0.3,37.7,0.1,64902,624,174.8502199
53,Washington,WA,13.2,0.4,37.5,0.1,61366,485,116.4173052
54,West Virginia,WV,18.3,0.7,41.9,0.2,41059,651,66.58581349
55,Wisconsin,WI,13.2,0.4,39.2,0.2,52622,433,157.9166667
56,Wyoming,WY,11.2,0.9,36.6,0.4,57055,1983,
